"Image type","Feature Class","Feature Name","CHEONGWON_SONG..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.02.24.19.04.53_segment_CHEONGWON_SONG..ABDOMEN_00_LIVE.OBJ1.OBJ1.2022.02.24.19.04.53"
"diagnostics","Versions","PyRadiomics","v3.0.1.post4+gad5b2de"
"diagnostics","Versions","Numpy","1.19.2"
"diagnostics","Versions","SimpleITK","2.0.2"
"diagnostics","Versions","PyWavelet","1.1.1"
"diagnostics","Versions","Python","3.6.7"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}, 'Wavelet': {}}"
"diagnostics","Image-original","Hash","ec625741e45fdbc97730092cb57bdc62fbc5a1f2"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.75390625, 0.75390625, 1.0)"
"diagnostics","Image-original","Size","(512, 512, 382)"
"diagnostics","Image-original","Mean","-401.09110858178263"
"diagnostics","Image-original","Minimum","-1024.0"
"diagnostics","Image-original","Maximum","2071.0"
"diagnostics","Mask-original","Hash","1413d5af62c23a69d9c690251c25aa363bbca02e"
"diagnostics","Mask-original","Spacing","(0.75390625, 0.75390625, 1.0)"
"diagnostics","Mask-original","Size","(512, 512, 382)"
"diagnostics","Mask-original","BoundingBox","(69, 289, 221, 32, 27, 19)"
"diagnostics","Mask-original","VoxelNum","5998"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(85.66838946315438, 302.54151383794596, 230.01467155718572)"
"diagnostics","Mask-original","CenterOfMass","(-118.03711263129377, -144.03510870811107, 481.0146715571857)"
"original","shape","Elongation","0.6995596454580509"
"original","shape","Flatness","0.6521328651294116"
"original","shape","LeastAxisLength","14.433257130065918"
"original","shape","MajorAxisLength","22.132387281542282"
"original","shape","Maximum2DDiameterColumn","25.41683743112034"
"original","shape","Maximum2DDiameterRow","20.380017370753798"
"original","shape","Maximum2DDiameterSlice","24.69546480744317"
"original","shape","Maximum3DDiameter","25.59009746716308"
"original","shape","MeshVolume","3388.791660308838"
"original","shape","MinorAxisLength","15.482924999815994"
"original","shape","Sphericity","0.7479759428125545"
"original","shape","SurfaceArea","1458.6790350061033"
"original","shape","SurfaceVolumeRatio","0.43044222874213706"
"original","shape","VoxelVolume","3409.111053466797"
"original","firstorder","10Percentile","73.0"
"original","firstorder","90Percentile","137.0"
"original","firstorder","Energy","69493985.0"
"original","firstorder","Entropy","2.093606323215639"
"original","firstorder","InterquartileRange","34.0"
"original","firstorder","Kurtosis","3.0532406461750696"
"original","firstorder","Maximum","193.0"
"original","firstorder","MeanAbsoluteDeviation","19.904397886991564"
"original","firstorder","Mean","104.716072024008"
"original","firstorder","Median","105.0"
"original","firstorder","Minimum","-12.0"
"original","firstorder","Range","205.0"
"original","firstorder","RobustMeanAbsoluteDeviation","14.133951240018963"
"original","firstorder","RootMeanSquared","107.63917919434607"
"original","firstorder","Skewness","-0.12197596428194196"
"original","firstorder","TotalEnergy","39498618.2749176"
"original","firstorder","Uniformity","0.272493020625637"
"original","firstorder","Variance","620.7371574953128"
"original","glcm","Autocorrelation","32.543962247326135"
"original","glcm","ClusterProminence","25.73507824049688"
"original","glcm","ClusterShade","-0.6360145146423639"
"original","glcm","ClusterTendency","2.8593712680455594"
"original","glcm","Contrast","1.5270487415596665"
"original","glcm","Correlation","0.3043233201028518"
"original","glcm","DifferenceAverage","0.9221434793831598"
"original","glcm","DifferenceEntropy","1.659696355725901"
"original","glcm","DifferenceVariance","0.6600046713968968"
"original","glcm","Id","0.6269764155263686"
"original","glcm","Idm","0.5986283860099989"
"original","glcm","Idmn","0.9821633287340764"
"original","glcm","Idn","0.9130395359279573"
"original","glcm","Imc1","-0.047760797205793945"
"original","glcm","Imc2","0.36936664314544776"
"original","glcm","InverseVariance","0.5079103201374197"
"original","glcm","JointAverage","5.675461150573545"
"original","glcm","JointEnergy","0.07766102495240115"
"original","glcm","JointEntropy","4.123454274667231"
"original","glcm","MCC","0.326366984829308"
"original","glcm","MaximumProbability","0.14315417508355682"
"original","glcm","SumAverage","11.35092230114709"
"original","glcm","SumEntropy","2.7966771547072784"
"original","glcm","SumSquares","1.0966050024013063"
"original","glrlm","GrayLevelNonUniformity","1078.2198670315781"
"original","glrlm","GrayLevelNonUniformityNormalized","0.25420095388179703"
"original","glrlm","GrayLevelVariance","1.2067886804160355"
"original","glrlm","HighGrayLevelRunEmphasis","33.90586603864118"
"original","glrlm","LongRunEmphasis","2.663200335627593"
"original","glrlm","LongRunHighGrayLevelEmphasis","88.57870976865405"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.09064849598195726"
"original","glrlm","LowGrayLevelRunEmphasis","0.03512562164918912"
"original","glrlm","RunEntropy","3.3792689208477125"
"original","glrlm","RunLengthNonUniformity","2364.3497074726006"
"original","glrlm","RunLengthNonUniformityNormalized","0.5532442380068978"
"original","glrlm","RunPercentage","0.7075050657911611"
"original","glrlm","RunVariance","0.6306823672605014"
"original","glrlm","ShortRunEmphasis","0.7695526066455322"
"original","glrlm","ShortRunHighGrayLevelEmphasis","26.274684495394546"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.0273463556736678"
"original","glszm","GrayLevelNonUniformity","41.6524064171123"
"original","glszm","GrayLevelNonUniformityNormalized","0.22274014126798022"
"original","glszm","GrayLevelVariance","4.482141325173725"
"original","glszm","HighGrayLevelZoneEmphasis","37.406417112299465"
"original","glszm","LargeAreaEmphasis","49885.433155080216"
"original","glszm","LargeAreaHighGrayLevelEmphasis","1676140.5026737968"
"original","glszm","LargeAreaLowGrayLevelEmphasis","1566.7060346537608"
"original","glszm","LowGrayLevelZoneEmphasis","0.053395492035197924"
"original","glszm","SizeZoneNonUniformity","56.711229946524064"
"original","glszm","SizeZoneNonUniformityNormalized","0.3032686093397009"
"original","glszm","SmallAreaEmphasis","0.5681913796028835"
"original","glszm","SmallAreaHighGrayLevelEmphasis","21.161074330089626"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.03316006184180728"
"original","glszm","ZoneEntropy","4.555339191520487"
"original","glszm","ZonePercentage","0.031177059019673225"
"original","glszm","ZoneVariance","48856.63610626555"
"original","gldm","DependenceEntropy","5.784389524303481"
"original","gldm","DependenceNonUniformity","444.7625875291764"
"original","gldm","DependenceNonUniformityNormalized","0.07415181519326049"
"original","gldm","DependenceVariance","14.070946623199172"
"original","gldm","GrayLevelNonUniformity","1634.413137712571"
"original","gldm","GrayLevelVariance","1.069283292274484"
"original","gldm","HighGrayLevelEmphasis","33.63421140380127"
"original","gldm","LargeDependenceEmphasis","88.11470490163387"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","2881.052684228076"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","2.9286890223853486"
"original","gldm","LowGrayLevelEmphasis","0.03465287326291094"
"original","gldm","SmallDependenceEmphasis","0.043572357744346306"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","1.5822167478700455"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.0019624499095756676"
"original","ngtdm","Busyness","12.759620149254637"
"original","ngtdm","Coarseness","0.0012018241470365977"
"original","ngtdm","Complexity","23.75692127349795"
"original","ngtdm","Contrast","0.01934653468535696"
"original","ngtdm","Strength","0.03794256922230878"
"wavelet-LLH","firstorder","10Percentile","-17.515670637220865"
"wavelet-LLH","firstorder","90Percentile","22.383560344240884"
"wavelet-LLH","firstorder","Energy","1530424.7770940708"
"wavelet-LLH","firstorder","Entropy","1.5179763447234849"
"wavelet-LLH","firstorder","InterquartileRange","21.357432291332668"
"wavelet-LLH","firstorder","Kurtosis","3.136562540987196"
"wavelet-LLH","firstorder","Maximum","64.68109963971706"
"wavelet-LLH","firstorder","MeanAbsoluteDeviation","12.584837087268326"
"wavelet-LLH","firstorder","Mean","2.2911593419287075"
"wavelet-LLH","firstorder","Median","2.302281113020393"
"wavelet-LLH","firstorder","Minimum","-56.48352941907638"
"wavelet-LLH","firstorder","Range","121.16462905879345"
"wavelet-LLH","firstorder","RobustMeanAbsoluteDeviation","8.81231795948068"
"wavelet-LLH","firstorder","RootMeanSquared","15.973598471594382"
"wavelet-LLH","firstorder","Skewness","0.02309627474278744"
"wavelet-LLH","firstorder","TotalEnergy","869854.6222225501"
"wavelet-LLH","firstorder","Uniformity","0.40359290598255443"
"wavelet-LLH","firstorder","Variance","249.90643700161513"
"wavelet-LLH","glcm","Autocorrelation","12.932212697450394"
"wavelet-LLH","glcm","ClusterProminence","4.035674607579274"
"wavelet-LLH","glcm","ClusterShade","0.034373873105629435"
"wavelet-LLH","glcm","ClusterTendency","1.1351404381594432"
"wavelet-LLH","glcm","Contrast","0.7857625008256192"
"wavelet-LLH","glcm","Correlation","0.18211390728220486"
"wavelet-LLH","glcm","DifferenceAverage","0.6188472400836638"
"wavelet-LLH","glcm","DifferenceEntropy","1.31100036929182"
"wavelet-LLH","glcm","DifferenceVariance","0.39422271130970016"
"wavelet-LLH","glcm","Id","0.7170857405032192"
"wavelet-LLH","glcm","Idm","0.7072252582741572"
"wavelet-LLH","glcm","Idmn","0.9795439118735982"
